invoice_date,month_year,country,product,total_quantity,revenue
,,Australia,10 COLOUR SPACEBOY PEN,48,40.8
,,Australia,12 PENCIL SMALL TUBE WOODLAND,384,211.2
,,Australia,12 PENCILS TALL TUBE POSY,252,79.8
,,Australia,12 PENCILS TALL TUBE RED RETROSPOT,12,10.2
,,Australia,16 PIECE CUTLERY SET PANTRY DESIGN,24,300.0
,,Australia,20 DOLLY PEGS RETROSPOT,24,30.0
,,Australia,3 HOOK HANGER MAGIC GARDEN,12,23.4
,,Australia,3 STRIPEY MICE FELTCRAFT,201,331.95
,,Australia,3 TIER CAKE TIN GREEN AND CREAM,32,408.0
,,Australia,3 TIER CAKE TIN RED AND CREAM,48,717.6
,,Australia,36 DOILIES VINTAGE CHRISTMAS,288,360.0
,,Australia,36 PENCILS TUBE RED RETROSPOT,385,408.29
,,Australia,36 PENCILS TUBE SKULLS,128,135.68
,,Australia,4 TRADITIONAL SPINNING TOPS,700,826.2
,,Australia,6 GIFT TAGS VINTAGE CHRISTMAS,216,155.52
,,Australia,6 RIBBONS RUSTIC CHARM,144,208.8
,,Australia,60 CAKE CASES VINTAGE CHRISTMAS,240,100.8
,,Australia,70'S ALPHABET WALL ART,6,44.7
,,Australia,72 SWEETHEART FAIRY CAKE CASES,120,50.4
,,Australia,ABC TREASURE BOOK BOX,360,702.0
,,Australia,ADVENT CALENDAR GINGHAM SACK,18,107.1
,,Australia,ALARM CLOCK BAKELIKE CHOCOLATE,50,169.5
,,Australia,ALARM CLOCK BAKELIKE GREEN,78,274.5
,,Australia,ALARM CLOCK BAKELIKE IVORY,62,214.5
,,Australia,ALARM CLOCK BAKELIKE ORANGE,8,30.0
,,Australia,ALARM CLOCK BAKELIKE PINK,58,199.5
,,Australia,ALARM CLOCK BAKELIKE RED,78,274.5
,,Australia,ANIMALS AND NATURE WALL ART,48,157.92
,,Australia,APOTHECARY MEASURING JAR,6,66.9
,,Australia,ASSORTED BOTTLE TOP  MAGNETS,120,43.2
,,Australia,ASSORTED COLOUR MINI CASES,4,31.8
,,Australia,ASSORTED COLOURS SILK FAN,600,432.0
,,Australia,ASSORTED EASTER GIFT TAGS,144,103.68
,,Australia,BAKING MOULD EASTER EGG MILK CHOC,6,17.7
,,Australia,BAKING MOULD EASTER EGG WHITE CHOC,48,122.4
,,Australia,BAKING SET 9 PIECE RETROSPOT,112,487.2
,,Australia,BAKING SET SPACEBOY DESIGN,186,803.1
,,Australia,BELLE JARDINIERE CUSHION COVER,4,15.0
,,Australia,BICYCLE SAFTEY WALL ART,180,963.0
,,Australia,BINGO SET,144,488.16
,,Australia,BIRDHOUSE GARDEN MARKER,60,75.0
,,Australia,BIRTHDAY PARTY CORDON BARRIER TAPE,24,30.0
,,Australia,BISCUIT TIN 50'S CHRISTMAS,216,624.24
,,Australia,BISCUIT TIN VINTAGE CHRISTMAS,216,537.84
,,Australia,BISCUIT TIN VINTAGE GREEN,60,357.0
,,Australia,BISCUIT TIN VINTAGE RED,60,357.0
,,Australia,BLACK DINER WALL CLOCK,2,17.0
,,Australia,BLACK RECORD COVER FRAME,192,650.88
,,Australia,BLACK/BLUE POLKADOT UMBRELLA,18,107.1
,,Australia,BLUE 3 PIECE POLKADOT CUTLERY SET,6,22.5
,,Australia,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,96,36.48
,,Australia,BLUE COAT RACK PARIS FASHION,36,153.0
,,Australia,BLUE DINER WALL CLOCK,18,142.8
,,Australia,BLUE GIANT GARDEN THERMOMETER,36,178.2
,,Australia,BLUE HAPPY BIRTHDAY BUNTING,112,530.4
,,Australia,BLUE HARMONICA IN BOX,720,763.2
,,Australia,BLUE OWL SOFT TOY,12,35.4
,,Australia,BLUE POLKADOT BOWL,216,228.96
,,Australia,BLUE POLKADOT CUP,192,138.24
